datacenter_location,router_name,interface_ip,link_type,latency_ms,bandwidth_gbps,vulnerability_score,node_status,last_security_scan
US (Virginia-East),US_Core_Backbone_01,10.56.95.95,Backbone Trunk,5,400,0.29,Operational / Patch Compliant,2026-06-10T21:43:44Z
US (Virginia-East),US_Core_Backbone_01,172.29.162.139,Backbone Trunk,4,100,0.11,Operational / Patch Compliant,2026-06-12T05:16:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_04,10.86.117.60,Edge Distribution,16,40,0.3,Operational / Patch Compliant,2026-06-07T13:46:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,10.160.183.253,Edge Distribution,14,10,0.35,Operational / Patch Compliant,2026-06-08T13:44:44Z
US (Virginia-East),US_Border_Gateway_01,10.206.69.254,Inter-DC Transit,24,100,0.8,Critical Exposure,2026-06-10T09:15:44Z
US (Virginia-East),US_Border_Gateway_02,172.28.183.69,Inter-DC Transit,14,40,0.02,Operational / Patch Compliant,2026-06-14T03:03:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_01,172.30.187.99,Edge Distribution,21,40,0.31,Operational / Patch Compliant,2026-06-14T06:30:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_02,172.20.5.185,Edge Distribution,14,10,0.58,Mitigation Required,2026-06-08T20:37:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_01,172.31.54.105,Inter-DC Transit,15,40,0.2,Operational / Patch Compliant,2026-06-12T16:09:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_03,172.19.32.53,Edge Distribution,7,40,0.3,Operational / Patch Compliant,2026-06-10T13:49:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_02,10.41.228.3,Backbone Trunk,8,200,0.39,Operational / Patch Compliant,2026-06-10T14:49:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_01,10.170.71.21,Inter-DC Transit,18,40,0.06,Operational / Patch Compliant,2026-06-14T03:15:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_01,172.31.210.157,Backbone Trunk,6,200,0.26,Operational / Patch Compliant,2026-06-11T11:28:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,172.26.131.115,Backbone Trunk,2,400,0.1,Operational / Patch Compliant,2026-06-15T07:08:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,172.31.49.126,Edge Distribution,21,10,0.43,Operational / Patch Compliant,2026-06-12T20:54:44Z
US (Virginia-East),US_Edge_Aggregation_02,172.21.58.18,Edge Distribution,22,10,0.1,Operational / Patch Compliant,2026-06-15T07:29:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_02,10.224.51.220,Backbone Trunk,7,200,0.05,Operational / Patch Compliant,2026-06-07T22:42:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_04,10.169.245.79,Backbone Trunk,1,200,0.75,Critical Exposure,2026-06-10T05:42:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_05,10.33.158.90,Inter-DC Transit,33,100,0.24,Operational / Patch Compliant,2026-06-13T19:20:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_05,10.50.43.199,Backbone Trunk,7,400,0.21,Operational / Patch Compliant,2026-06-14T02:24:44Z
US (Virginia-East),US_Distribution_Layer_02,172.26.225.123,Edge Distribution,8,10,0.24,Operational / Patch Compliant,2026-06-07T21:02:44Z
US (Virginia-East),US_Distribution_Layer_01,172.26.62.151,Edge Distribution,6,40,0.28,Operational / Patch Compliant,2026-06-10T09:18:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.192.17.77,Edge Distribution,17,10,0.16,Operational / Patch Compliant,2026-06-11T07:50:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_02,172.26.174.126,Inter-DC Transit,16,100,0.11,Operational / Patch Compliant,2026-06-09T06:07:44Z
US (Virginia-East),US_Edge_Aggregation_04,10.197.239.141,Edge Distribution,6,40,0.14,Operational / Patch Compliant,2026-06-08T13:51:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_03,10.164.114.158,Backbone Trunk,6,200,0.45,Operational / Patch Compliant,2026-06-08T11:58:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_01,172.20.3.218,Edge Distribution,11,10,0.07,Operational / Patch Compliant,2026-06-08T17:42:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_04,10.39.0.246,Backbone Trunk,5,400,0.28,Operational / Patch Compliant,2026-06-15T03:36:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_04,172.25.35.91,Edge Distribution,12,10,0.03,Operational / Patch Compliant,2026-06-11T08:27:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_01,10.187.30.75,Edge Distribution,12,40,0.42,Operational / Patch Compliant,2026-06-09T01:24:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,172.22.234.38,Backbone Trunk,2,200,0.97,Critical Exposure,2026-06-08T13:51:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_03,172.16.7.36,Edge Distribution,18,10,0.14,Operational / Patch Compliant,2026-06-09T13:08:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_05,10.79.39.198,Inter-DC Transit,12,100,0.09,Operational / Patch Compliant,2026-06-12T19:30:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.213.238.57,Edge Distribution,6,10,0.08,Operational / Patch Compliant,2026-06-13T09:18:44Z
US (Virginia-East),US_Distribution_Layer_05,10.161.3.6,Edge Distribution,17,40,0.26,Operational / Patch Compliant,2026-06-09T14:41:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_05,172.17.41.3,Edge Distribution,8,10,0.33,Operational / Patch Compliant,2026-06-15T08:49:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.136.252.239,Edge Distribution,18,10,0.62,Mitigation Required,2026-06-11T22:33:44Z
US (Virginia-East),US_Distribution_Layer_05,172.28.157.35,Edge Distribution,6,40,0.07,Operational / Patch Compliant,2026-06-11T07:14:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_03,172.18.224.213,Backbone Trunk,1,400,0.41,Operational / Patch Compliant,2026-06-09T15:38:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_05,172.18.201.194,Edge Distribution,15,40,0.26,Operational / Patch Compliant,2026-06-09T00:37:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_01,10.147.29.43,Backbone Trunk,6,400,0.02,Operational / Patch Compliant,2026-06-07T09:59:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_05,172.16.254.149,Edge Distribution,9,40,0.4,Operational / Patch Compliant,2026-06-10T00:41:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_05,10.58.52.163,Backbone Trunk,5,100,0.05,Operational / Patch Compliant,2026-06-07T21:04:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,10.185.249.204,Inter-DC Transit,14,100,0.93,Critical Exposure,2026-06-12T19:45:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_02,172.27.193.34,Edge Distribution,13,10,0.43,Operational / Patch Compliant,2026-06-11T17:29:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_03,10.12.194.174,Backbone Trunk,6,400,0.33,Operational / Patch Compliant,2026-06-08T22:34:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_05,172.26.81.114,Backbone Trunk,4,100,0.14,Operational / Patch Compliant,2026-06-12T00:59:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_02,172.18.8.181,Inter-DC Transit,25,40,0.14,Operational / Patch Compliant,2026-06-11T06:23:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_01,10.59.115.105,Inter-DC Transit,26,40,0.17,Operational / Patch Compliant,2026-06-07T19:59:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_03,172.29.168.190,Edge Distribution,17,10,0.1,Operational / Patch Compliant,2026-06-09T23:31:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_02,10.63.254.9,Backbone Trunk,6,400,0.43,Operational / Patch Compliant,2026-06-11T18:01:44Z
US (Virginia-East),US_Border_Gateway_02,10.81.246.81,Inter-DC Transit,25,40,0.04,Operational / Patch Compliant,2026-06-14T10:57:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,10.208.30.18,Inter-DC Transit,19,40,0.26,Operational / Patch Compliant,2026-06-09T21:39:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_05,10.106.83.82,Inter-DC Transit,22,100,0.39,Operational / Patch Compliant,2026-06-10T23:27:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,172.16.61.154,Backbone Trunk,6,400,0.37,Operational / Patch Compliant,2026-06-07T14:15:44Z
US (Virginia-East),US_Core_Backbone_04,172.23.162.242,Backbone Trunk,4,200,0.01,Operational / Patch Compliant,2026-06-09T14:09:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_05,172.26.0.44,Edge Distribution,18,10,0.91,Critical Exposure,2026-06-08T07:41:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_04,172.27.6.85,Edge Distribution,18,10,0.36,Operational / Patch Compliant,2026-06-11T01:56:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,10.190.57.169,Inter-DC Transit,15,40,0.27,Operational / Patch Compliant,2026-06-12T16:35:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_03,10.205.233.211,Edge Distribution,22,10,0.42,Operational / Patch Compliant,2026-06-15T09:02:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_03,10.53.23.117,Edge Distribution,13,40,0.12,Operational / Patch Compliant,2026-06-07T23:40:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_03,10.97.189.198,Edge Distribution,18,40,0.09,Operational / Patch Compliant,2026-06-09T05:33:44Z
US (Virginia-East),US_Distribution_Layer_05,172.20.156.116,Edge Distribution,15,10,0.04,Operational / Patch Compliant,2026-06-12T06:39:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_02,10.243.32.146,Edge Distribution,17,40,0.4,Operational / Patch Compliant,2026-06-13T01:11:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_05,10.171.148.52,Edge Distribution,22,40,0.42,Operational / Patch Compliant,2026-06-12T04:12:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_03,10.62.224.132,Inter-DC Transit,33,40,0.69,Mitigation Required,2026-06-07T23:01:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,172.20.41.206,Edge Distribution,15,10,0.18,Operational / Patch Compliant,2026-06-10T14:27:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_05,172.27.155.113,Inter-DC Transit,16,40,0.03,Operational / Patch Compliant,2026-06-08T02:25:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_04,10.198.77.65,Inter-DC Transit,16,40,0.21,Operational / Patch Compliant,2026-06-12T23:15:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_02,172.23.139.138,Edge Distribution,22,10,0.96,Critical Exposure,2026-06-15T06:22:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_04,172.17.118.157,Inter-DC Transit,33,100,0.42,Operational / Patch Compliant,2026-06-09T19:38:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_01,10.50.176.239,Backbone Trunk,8,200,0.41,Operational / Patch Compliant,2026-06-13T08:36:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_01,172.22.0.104,Backbone Trunk,2,200,0.3,Operational / Patch Compliant,2026-06-07T10:49:44Z
US (Virginia-East),US_Border_Gateway_03,10.165.165.191,Inter-DC Transit,23,100,0.41,Operational / Patch Compliant,2026-06-13T20:34:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_02,10.185.120.251,Edge Distribution,14,10,0.17,Operational / Patch Compliant,2026-06-10T21:03:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.16.250.91,Edge Distribution,8,40,0.08,Operational / Patch Compliant,2026-06-09T00:56:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_01,172.27.76.191,Backbone Trunk,8,400,0.19,Operational / Patch Compliant,2026-06-08T22:56:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_02,10.241.204.219,Edge Distribution,20,40,0.16,Operational / Patch Compliant,2026-06-12T18:58:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_04,172.17.226.220,Inter-DC Transit,12,100,0.41,Operational / Patch Compliant,2026-06-13T01:45:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_04,10.56.155.79,Backbone Trunk,8,100,0.18,Operational / Patch Compliant,2026-06-09T10:00:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,10.117.203.6,Edge Distribution,12,10,0.25,Operational / Patch Compliant,2026-06-14T03:15:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_04,172.27.224.222,Edge Distribution,19,10,0.35,Operational / Patch Compliant,2026-06-08T00:02:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,10.111.116.59,Edge Distribution,5,40,0.96,Critical Exposure,2026-06-09T04:45:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_05,10.34.91.149,Backbone Trunk,3,200,0.44,Operational / Patch Compliant,2026-06-15T02:32:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,10.228.142.202,Edge Distribution,7,40,0.12,Operational / Patch Compliant,2026-06-09T00:44:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,10.249.90.16,Inter-DC Transit,15,100,0.11,Operational / Patch Compliant,2026-06-13T23:05:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,172.25.139.217,Edge Distribution,13,10,0.37,Operational / Patch Compliant,2026-06-09T18:02:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,10.227.207.10,Edge Distribution,7,10,0.06,Operational / Patch Compliant,2026-06-09T23:44:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_03,172.30.223.251,Edge Distribution,6,40,0.3,Operational / Patch Compliant,2026-06-13T22:03:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_01,172.31.117.235,Backbone Trunk,6,400,0.21,Operational / Patch Compliant,2026-06-08T23:34:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,172.19.234.188,Edge Distribution,9,10,0.07,Operational / Patch Compliant,2026-06-08T12:02:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_02,10.236.53.24,Backbone Trunk,3,100,0.41,Operational / Patch Compliant,2026-06-08T13:55:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_05,172.16.33.126,Backbone Trunk,5,200,0.16,Operational / Patch Compliant,2026-06-09T02:06:44Z
US (Virginia-East),US_Border_Gateway_05,10.7.69.106,Inter-DC Transit,12,40,0.26,Operational / Patch Compliant,2026-06-10T01:40:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,172.25.114.248,Backbone Trunk,5,400,0.57,Mitigation Required,2026-06-07T17:52:44Z
US (Virginia-East),US_Edge_Aggregation_01,10.40.9.187,Edge Distribution,21,40,0.75,Critical Exposure,2026-06-08T21:42:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,172.24.222.208,Edge Distribution,16,10,0.15,Operational / Patch Compliant,2026-06-07T12:48:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_05,10.160.50.64,Edge Distribution,7,10,0.09,Operational / Patch Compliant,2026-06-12T07:28:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_05,10.29.4.220,Backbone Trunk,7,100,0.33,Operational / Patch Compliant,2026-06-10T07:58:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_02,10.144.25.118,Inter-DC Transit,32,100,0.19,Operational / Patch Compliant,2026-06-14T17:47:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_03,10.70.167.208,Edge Distribution,17,10,0.08,Operational / Patch Compliant,2026-06-08T04:43:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,10.252.29.192,Edge Distribution,18,40,0.04,Operational / Patch Compliant,2026-06-14T12:25:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,172.21.90.167,Edge Distribution,14,40,0.11,Operational / Patch Compliant,2026-06-07T16:48:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,172.25.15.70,Backbone Trunk,3,200,0.33,Operational / Patch Compliant,2026-06-14T01:10:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_01,10.95.230.34,Edge Distribution,18,10,0.13,Operational / Patch Compliant,2026-06-14T09:22:44Z
US (Virginia-East),US_Edge_Aggregation_04,10.177.203.191,Edge Distribution,6,10,0.31,Operational / Patch Compliant,2026-06-08T10:40:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_05,10.203.191.254,Edge Distribution,21,10,0.26,Operational / Patch Compliant,2026-06-12T08:54:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_04,172.31.181.125,Inter-DC Transit,28,100,0.09,Operational / Patch Compliant,2026-06-07T17:20:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_01,172.18.26.51,Backbone Trunk,6,100,0.85,Critical Exposure,2026-06-09T13:16:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_03,172.21.148.252,Backbone Trunk,7,400,0.19,Operational / Patch Compliant,2026-06-15T08:46:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,172.26.76.79,Edge Distribution,13,10,0.03,Operational / Patch Compliant,2026-06-12T11:04:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,172.17.75.239,Edge Distribution,22,10,0.38,Operational / Patch Compliant,2026-06-09T07:28:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_01,172.16.183.180,Edge Distribution,9,40,0.23,Operational / Patch Compliant,2026-06-15T00:51:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,172.17.56.240,Backbone Trunk,4,200,0.32,Operational / Patch Compliant,2026-06-11T17:56:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_05,10.211.213.179,Inter-DC Transit,33,40,0.36,Operational / Patch Compliant,2026-06-12T21:47:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_03,172.18.118.21,Edge Distribution,15,10,0.32,Operational / Patch Compliant,2026-06-09T02:37:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_03,172.22.194.196,Edge Distribution,17,10,0.09,Operational / Patch Compliant,2026-06-15T03:21:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,172.21.240.30,Edge Distribution,14,10,0.42,Operational / Patch Compliant,2026-06-15T04:41:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_01,10.94.3.234,Edge Distribution,18,10,0.42,Operational / Patch Compliant,2026-06-08T20:56:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_01,10.71.60.91,Edge Distribution,14,40,0.24,Operational / Patch Compliant,2026-06-10T05:05:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_02,10.83.133.185,Inter-DC Transit,32,100,0.01,Operational / Patch Compliant,2026-06-11T17:06:44Z
US (Virginia-East),US_Edge_Aggregation_02,172.17.29.119,Edge Distribution,11,10,0.89,Critical Exposure,2026-06-09T01:01:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_03,10.81.23.70,Edge Distribution,6,40,0.43,Operational / Patch Compliant,2026-06-09T05:13:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_02,10.90.162.222,Edge Distribution,14,40,0.55,Mitigation Required,2026-06-08T08:51:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,172.24.185.219,Edge Distribution,7,10,0.14,Operational / Patch Compliant,2026-06-12T03:39:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_05,172.16.146.179,Backbone Trunk,4,400,0.03,Operational / Patch Compliant,2026-06-09T04:28:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,10.117.4.58,Edge Distribution,21,10,0.31,Operational / Patch Compliant,2026-06-14T06:27:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,10.198.109.250,Edge Distribution,7,10,0.23,Operational / Patch Compliant,2026-06-10T05:43:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_02,10.84.229.56,Inter-DC Transit,29,100,0.26,Operational / Patch Compliant,2026-06-09T12:55:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_01,10.218.29.29,Backbone Trunk,3,400,0.26,Operational / Patch Compliant,2026-06-10T09:31:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_03,172.28.218.108,Edge Distribution,21,40,0.06,Operational / Patch Compliant,2026-06-08T11:55:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_03,172.24.113.106,Backbone Trunk,2,200,0.16,Operational / Patch Compliant,2026-06-13T04:05:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,10.158.254.248,Edge Distribution,17,10,0.28,Operational / Patch Compliant,2026-06-09T08:26:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_01,172.24.149.120,Edge Distribution,7,10,0.08,Operational / Patch Compliant,2026-06-14T11:41:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_01,10.160.173.91,Backbone Trunk,5,100,0.74,Critical Exposure,2026-06-14T06:47:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_05,172.19.227.15,Backbone Trunk,5,100,0.36,Operational / Patch Compliant,2026-06-08T08:21:44Z
US (Virginia-East),US_Edge_Aggregation_01,10.180.85.196,Edge Distribution,22,40,0.04,Operational / Patch Compliant,2026-06-15T01:16:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_02,10.42.174.144,Edge Distribution,8,10,0.13,Operational / Patch Compliant,2026-06-15T03:09:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,10.226.238.157,Backbone Trunk,7,400,0.2,Operational / Patch Compliant,2026-06-11T11:47:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_03,10.189.121.136,Inter-DC Transit,34,40,0.07,Operational / Patch Compliant,2026-06-09T09:10:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_05,172.24.184.163,Backbone Trunk,2,100,0.05,Operational / Patch Compliant,2026-06-13T09:07:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_02,10.104.81.203,Edge Distribution,8,10,0.19,Operational / Patch Compliant,2026-06-12T18:53:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_02,10.239.153.4,Backbone Trunk,1,100,0.29,Operational / Patch Compliant,2026-06-13T02:27:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.26.48.155,Edge Distribution,11,40,0.3,Operational / Patch Compliant,2026-06-14T22:57:44Z
US (Virginia-East),US_Core_Backbone_01,10.70.229.90,Backbone Trunk,8,100,0.05,Operational / Patch Compliant,2026-06-08T23:29:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_05,10.40.62.160,Backbone Trunk,6,100,0.13,Operational / Patch Compliant,2026-06-10T07:43:44Z
US (Virginia-East),US_Border_Gateway_03,10.121.216.111,Inter-DC Transit,13,40,0.07,Operational / Patch Compliant,2026-06-12T23:06:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,172.20.175.194,Backbone Trunk,2,100,0.85,Critical Exposure,2026-06-12T22:17:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_03,10.94.107.138,Edge Distribution,16,10,0.28,Operational / Patch Compliant,2026-06-13T14:46:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_02,10.134.195.169,Inter-DC Transit,13,40,0.45,Operational / Patch Compliant,2026-06-12T00:40:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_01,10.48.137.110,Backbone Trunk,5,400,0.33,Operational / Patch Compliant,2026-06-14T08:14:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,10.125.24.17,Edge Distribution,10,40,0.03,Operational / Patch Compliant,2026-06-10T02:54:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_05,10.34.157.32,Edge Distribution,19,40,0.68,Mitigation Required,2026-06-08T06:41:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_03,10.210.126.47,Edge Distribution,12,10,0.15,Operational / Patch Compliant,2026-06-09T16:48:44Z
US (Virginia-East),US_Border_Gateway_05,172.24.2.38,Inter-DC Transit,18,40,0.2,Operational / Patch Compliant,2026-06-08T11:55:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_03,172.27.170.214,Edge Distribution,19,10,0.44,Operational / Patch Compliant,2026-06-09T20:34:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_05,172.30.39.172,Backbone Trunk,7,400,0.27,Operational / Patch Compliant,2026-06-10T14:08:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_05,172.27.158.117,Backbone Trunk,6,200,0.02,Operational / Patch Compliant,2026-06-10T17:56:44Z
US (Virginia-East),US_Distribution_Layer_03,172.21.174.73,Edge Distribution,7,10,0.3,Operational / Patch Compliant,2026-06-09T01:42:44Z
US (Virginia-East),US_Border_Gateway_05,172.16.119.9,Inter-DC Transit,12,100,0.08,Operational / Patch Compliant,2026-06-07T18:30:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,172.20.124.170,Edge Distribution,5,40,0.98,Critical Exposure,2026-06-13T15:51:44Z
US (Virginia-East),US_Distribution_Layer_03,10.254.141.117,Edge Distribution,18,40,0.19,Operational / Patch Compliant,2026-06-11T04:16:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_05,172.28.189.25,Edge Distribution,18,40,0.22,Operational / Patch Compliant,2026-06-09T16:09:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_03,10.124.166.227,Backbone Trunk,5,200,0.24,Operational / Patch Compliant,2026-06-09T13:05:44Z
US (Virginia-East),US_Distribution_Layer_05,10.101.73.99,Edge Distribution,19,40,0.36,Operational / Patch Compliant,2026-06-08T05:52:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_01,172.31.173.175,Edge Distribution,8,10,0.14,Operational / Patch Compliant,2026-06-13T17:25:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_03,10.185.85.133,Edge Distribution,13,10,0.15,Operational / Patch Compliant,2026-06-12T15:25:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_02,10.125.93.82,Inter-DC Transit,27,100,0.06,Operational / Patch Compliant,2026-06-14T10:04:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,10.65.71.2,Edge Distribution,8,10,0.35,Operational / Patch Compliant,2026-06-15T00:05:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_02,172.22.28.80,Inter-DC Transit,15,100,0.08,Operational / Patch Compliant,2026-06-10T18:13:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,10.32.105.25,Edge Distribution,11,40,0.07,Operational / Patch Compliant,2026-06-12T04:33:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_04,10.139.6.238,Edge Distribution,8,40,0.36,Operational / Patch Compliant,2026-06-08T23:38:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_05,172.21.47.90,Edge Distribution,21,40,0.27,Operational / Patch Compliant,2026-06-14T05:26:44Z
US (Virginia-East),US_Border_Gateway_05,10.27.112.94,Inter-DC Transit,12,100,0.81,Critical Exposure,2026-06-14T01:24:44Z
